,maximum temperature,minimum temperature,average temperature,precipitation
0,42,34,38.0,0.00
1,40,32,36.0,0.00
2,45,35,40.0,0.00
3,36,14,25.0,0.00
4,29,11,20.0,0.00
5,41,25,33.0,0.00
6,46,31,38.5,0.00
7,46,31,38.5,0.00
8,47,40,43.5,0
9,59,40,49.5,1.80
10,40,26,33.0,0.00
11,44,25,34.5,0.00
12,30,22,26.0,0.00
13,38,22,30.0,0.00
14,51,34,42.5,0
15,52,42,47.0,0.24
16,42,30,36.0,0.05
17,31,18,24.5,0
18,28,16,22.0,0.00
19,37,27,32.0,0.00
20,36,26,31.0,0.00
21,30,21,25.5,0.01
22,27,24,25.5,2.31
23,35,20,27.5,0
24,39,28,33.5,0.00
25,48,38,43.0,0.00
26,47,34,40.5,0
27,42,32,37.0,0.00
28,41,30,35.5,0.00
29,39,28,33.5,0.00
30,56,36,46.0,0.00
31,59,44,51.5,0.01
32,50,38,44.0,0.00
33,59,42,50.5,0.73
34,59,44,51.5,0
35,44,31,37.5,0.53
36,40,30,35.0,0.00
37,47,33,40.0,0.00
38,39,28,33.5,0.05
39,36,27,31.5,0.00
40,39,31,35.0,0.01
41,31,18,24.5,0
42,27,15,21.0,0.00
43,22,6,14.0,0.00
44,15,-1,7.0,0.00
45,35,13,24.0,0.44
46,54,35,44.5,1.01
47,39,35,37.0,0.00
48,36,27,31.5,0.00
49,39,24,31.5,0.00
50,61,39,50.0,0.00
51,55,44,49.5,0.03
52,52,38,45.0,0.00
53,40,35,37.5,0.30
54,60,36,48.0,1.22
55,61,37,49.0,0.02
56,39,27,33.0,0.00
57,41,26,33.5,0.00
58,60,38,49.0,0.00
59,61,47,54.0,0.05
60,52,39,45.5,0.00
61,55,29,42.0,0.14
62,36,26,31.0,0.00
63,39,30,34.5,0.11
64,41,28,34.5,0.00
65,44,32,38.0,0.00
66,60,36,48.0,0.00
67,67,47,57.0,0.00
68,77,44,60.5,0.00
69,79,63,71.0,0.00
70,68,48,58.0,0.06
71,59,40,49.5,0.00
72,62,50,56.0,0
73,51,40,45.5,0.29
74,57,44,50.5,0.00
75,65,48,56.5,0.02
76,63,45,54.0,0
77,57,42,49.5,0.00
78,46,36,41.0,0.00
79,43,32,37.5,0.07
80,50,32,41.0,0.06
81,56,35,45.5,0.00
82,71,48,59.5,0.00
83,55,44,49.5,0.00
84,72,44,58.0,0.04
