,maximum temperature,minimum temperature,average temperature,humidity,precipitation
0,42,34,38,39,0
1,40,32,36,35,0
2,45,35,40,37,0
3,36,14,25,25,0
4,29,11,20,24,0
5,41,25,33,28,0
6,46,31,38.5,24,0
7,46,31,38.5,26,0
8,47,40,43.5,24,0
9,59,40,49.5,33,1.8
10,40,26,33,40,0
11,44,25,34.5,52,0
12,30,22,26,55,0
13,38,22,30,63,0
14,51,34,42.5,59,0
15,52,42,47,63,0.24
16,42,30,36,63,0.05
17,31,18,24.5,72,0
18,28,16,22,77,0
19,37,27,32,68,0
20,36,26,31,72,0
21,30,21,25.5,72,0.01
22,27,24,25.5,72,2.31
23,35,20,27.5,60,0
24,39,28,33.5,68,0
25,48,38,43,50,0
26,47,34,40.5,53,0
27,42,32,37,44,0
28,41,30,35.5,44,0
29,39,28,33.5,50,0
30,56,36,46,57,0
31,59,44,51.5,60,0.01
32,50,38,44,68,0
33,59,42,50.5,64,0.73
34,59,44,51.5,68,0
35,44,31,37.5,64,0.53
36,40,30,35,56,0
37,47,33,40,52,0
38,39,28,33.5,68,0.05
39,36,27,31.5,63,0
40,39,31,35,68,0.01
41,31,18,24.5,77,0
42,27,15,21,72,0
43,22,6,14,72,0
44,15,-1,7,63,0
45,35,13,24,63,0.44
46,54,35,44.5,63,1.01
47,39,35,37,60,0
48,36,27,31.5,53,0
49,39,24,31.5,53,0
50,61,39,50,47,0
51,55,44,49.5,44,0.03
52,52,38,45,41,0
53,40,35,37.5,64,0.3
54,60,36,48,68,1.22
55,61,37,49,64,0.02
56,39,27,33,64,0
57,41,26,33.5,68,0
58,60,38,49,55,0
59,61,47,54,52,0.05
60,52,39,45.5,55,0
61,55,29,42,63,0.14
62,36,26,31,63,0
63,39,30,34.5,71,0.11
64,41,28,34.5,76,0
65,44,32,38,71,0
66,60,36,48,62,0
67,67,47,57,72,0
68,77,44,60.5,48,0
69,79,63,71,40,0
70,68,48,58,29,0.06
71,59,40,49.5,35,0
72,62,50,56,40,0
73,51,40,45.5,52,0.29
74,57,44,50.5,55,0
75,65,48,56.5,55,0.02
76,63,45,54,59,0
77,57,42,49.5,67,0
78,46,36,41,67,0
79,43,32,37.5,63,0.07
80,50,32,41,67,0.06
81,56,35,45.5,67,0
82,71,48,59.5,67,0
83,55,44,49.5,67,0
84,72,44,58,59,0.04
85,55,38,46.5,59,0
86,55,43,49,48,0
87,62,42,52,40,0.38
88,53,40,46.5,43,0
89,56,37,46.5,35,0
90,73,49,61,33,0
91,79,61,70,33,0.02
92,61,49,55,31,0.16
93,50,34,42,38,0.09
94,45,29,37,43,0.47
95,43,26,34.5,52,0
96,48,30,39,55,0
97,58,48,53,59,0.09
98,50,40,45,55,0.01
99,43,36,39.5,63,0.11
100,50,31,40.5,63,0
101,65,43,54,63,0.01
102,59,45,52,67,0.2
103,58,40,49,67,0
104,62,43,52.5,67,0
105,65,42,53.5,76,0
106,68,43,55.5,76,0
107,75,44,59.5,71,0
108,82,51,66.5,72,0
109,73,55,64,63,0
110,69,49,59,55,0
111,73,49,61,52,0
112,79,62,70.5,38,0
113,71,54,62.5,38,0.16
114,68,47,57.5,31,0
115,69,50,59.5,29,0
116,60,47,53.5,27,0.24
117,62,46,54,31,0
118,59,48,53.5,37,0
119,58,45,51.5,48,0.05
120,65,46,55.5,45,0
121,51,45,48,48,0.16
122,60,45,52.5,51,0.04
123,56,51,53.5,58,0.61
124,52,48,50,51,0.01
125,57,46,51.5,62,0
126,54,48,51,58,0.54
127,60,48,54,71,0
128,66,49,57.5,62,0.16
129,72,52,62,67,0
130,63,50,56.5,62,0
131,76,50,63,58,0
132,80,56,68,54,0
133,65,57,61,51,0.25
134,73,56,64.5,42,0
135,59,46,52.5,37,0
136,66,43,54.5,33,0
137,64,52,58,27,0
138,68,52,60,27,0
139,73,54,63.5,26,0
140,76,53,64.5,29,0
141,66,54,60,37,0.04
142,70,52,61,45,0.09
143,78,56,67,48,0.02
144,73,58,65.5,55,0.18
145,88,61,74.5,55,0
146,90,69,79.5,55,0
147,87,73,80,59,0
148,92,71,81.5,59,0
149,87,70,78.5,55,0
150,82,68,75,62,1.65
151,85,71,78,67,0
152,83,66,74.5,63,0
153,78,62,70,62,0
154,70,63,66.5,55,0.04
155,83,66,74.5,48,0.4
156,71,65,68,55,0.91
157,83,65,74,29,0
158,85,64,74.5,26,0
159,67,52,59.5,23,0.45
160,71,54,62.5,24,0
161,77,57,67,23,0
162,88,59,73.5,23,0
163,83,62,72.5,36,0
164,74,57,65.5,43,0
165,79,58,68.5,49,0
166,85,62,73.5,49,0
167,74,65,69.5,52,0.22
168,78,63,70.5,55,0
169,87,61,74,63,0
170,88,66,77,59,0
171,84,64,74,59,0
172,87,72,79.5,59,0
173,86,68,77,63,0
174,83,69,76,63,0
175,84,67,75.5,67,0
176,86,64,75,63,0
177,87,67,77,63,0
178,83,67,75,49,0.45
179,76,68,72,33,0.12
180,83,67,75,32,0.01
181,85,67,76,28,0
182,79,66,72.5,28,0.83
183,76,63,69.5,34,0
184,78,64,71,38,0
185,84,66,75,56,0.49
186,86,69,77.5,59,0.66
187,91,75,83,63,0
188,89,77,83,59,0.04
189,86,67,76.5,63,0.08
190,72,65,68.5,63,0.53
191,80,66,73,67,0
192,81,65,73,72,0
193,82,68,75,67,0
194,85,71,78,72,0
195,88,73,80.5,77,0.62
196,88,79,83.5,77,0
197,90,75,82.5,63,0
198,89,75,82,38,0
199,93,72,82.5,33,0.35
200,83,73,78,22,0
201,85,68,76.5,21,0
202,90,71,80.5,21,0
203,94,74,84,23,0
204,96,80,88,33,0
205,94,75,84.5,45,0
206,93,73,83,51,1
207,89,72,80.5,42,0
208,91,74,82.5,45,0
209,95,75,85,58,0
210,85,69,77,55,1.09
211,84,73,78.5,55,0.25
212,78,71,74.5,62,1.08
213,80,69,74.5,58,0
214,79,68,73.5,66,0
215,80,66,73,16,0
216,81,67,74,36,0
